Issue key,Issue id,Summary,Issue Type,Custom field (Story Points),Status,Custom field (Epic Link),Epic Link Summary,Updated,Created,Assignee,Assignee Id,Labels,Labels,Labels,Labels
PART-2404,26282,UI api hook and data type - network,Task,,Canceled,PART-2394,Insurance Restructure,06/Apr/23 10:42 AM,22/Mar/23 11:29 AM,,,part/Frontend,,,
PART-2405,26283,New backend insurance-network endpoint,Task,,Canceled,PART-2394,Insurance Restructure,06/Apr/23 10:42 AM,22/Mar/23 11:30 AM,,,part/Backend,,,
PART-2406,26284,New backend service to fetch insurance-network data from Station,Task,,Canceled,PART-2394,Insurance Restructure,06/Apr/23 10:42 AM,22/Mar/23 11:31 AM,,,part/Backend,,,
PART-2407,26285,Update E2E tests - network,Task,,To Do,PART-2394,Insurance Restructure,22/Mar/23 11:31 AM,22/Mar/23 11:31 AM,,,part/Frontend,,,
PART-2410,26327,Remove create_care_request_server_error_handling feature gate and code,Task,,To Do,PART-234,Express Tech Excellence,22/Mar/23 1:48 PM,22/Mar/23 1:48 PM,,,part/FE,,,
PART-2411,26328,Remove create_care_request_server_error_handling feature gate and code,Task,,Canceled,PART-234,Express Tech Excellence,22/Mar/23 1:49 PM,22/Mar/23 1:49 PM,,,part/FE,,,
PART-2415,26577,Investigate Statsig FeatureGateList not working,Task,,To Do,PART-234,Express Tech Excellence,23/Mar/23 2:59 PM,23/Mar/23 2:58 PM,,,,,,
PART-2420,24818,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in postcss,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:42 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2421,24819,DispatchHealth/partner-product:client/package.json - Improper Verification of Cryptographic Signature in node-forge,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:42 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2422,24816,DispatchHealth/partner-product:client/package.json - Open Redirect in node-forge,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:42 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2423,24838,DispatchHealth/partner-product - Use of Externally-Controlled Format String,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:48 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2424,24839,DispatchHealth/partner-product - Use of Hardcoded Credentials,Vulnerabilities,1.0,Canceled,PART-234,Express Tech Excellence,19/Apr/23 11:14 AM,13/Mar/23 11:49 PM,Sam Lanker,62cdf020afe495359d9d9b0b,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2425,24817,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in postcss,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:42 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2426,24810,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in nth-check,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:41 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2427,24832,DispatchHealth/partner-product:Gemfile.lock - GPL-2.0 license in colorize,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:24 AM,13/Mar/23 11:47 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2428,24811,DispatchHealth/partner-product:client/package.json - Prototype Pollution in immer,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:41 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2429,24833,DispatchHealth/partner-product:Gemfile.lock - Web Cache Poisoning in rack,Vulnerabilities,1.0,Code Review,PART-234,Express Tech Excellence,14/Apr/23 12:28 PM,13/Mar/23 11:47 PM,Antonio Antillon,61f81bb630f6b8006aa75942,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2430,24830,DispatchHealth/partner-product:client/package.json - Prototype Pollution in unset-value,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:24 AM,13/Mar/23 11:46 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2431,24831,DispatchHealth/partner-product:Gemfile.lock - Denial of Service (DoS) in rack,Vulnerabilities,1.0,Code Review,PART-234,Express Tech Excellence,14/Apr/23 12:28 PM,13/Mar/23 11:47 PM,Antonio Antillon,61f81bb630f6b8006aa75942,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2432,24814,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in browserslist,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:41 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2433,24836,DispatchHealth/partner-product - Use of Hardcoded Credentials,Vulnerabilities,1.0,Canceled,PART-234,Express Tech Excellence,19/Apr/23 11:16 AM,13/Mar/23 11:48 PM,Antonio Antillon,61f81bb630f6b8006aa75942,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2434,24837,DispatchHealth/partner-product - Use of Hardcoded Credentials,Vulnerabilities,1.0,Canceled,PART-234,Express Tech Excellence,19/Apr/23 11:16 AM,13/Mar/23 11:48 PM,Antonio Antillon,61f81bb630f6b8006aa75942,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2435,24815,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in glob-parent,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:42 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2436,24812,DispatchHealth/partner-product:client/package.json - Command Injection in react-dev-utils,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:41 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2437,24834,DispatchHealth/partner-product:Gemfile.lock - Information Exposure in actioncable,Vulnerabilities,1.0,Code Review,PART-234,Express Tech Excellence,14/Apr/23 12:28 PM,13/Mar/23 11:47 PM,Antonio Antillon,61f81bb630f6b8006aa75942,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2438,24835,DispatchHealth/partner-product - Code Injection,Vulnerabilities,1.0,To Do,PART-234,Express Tech Excellence,20/Apr/23 11:18 AM,13/Mar/23 11:48 PM,Giorgi Gelashvili,62cdef6c6eba71983721e037,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2439,24813,DispatchHealth/partner-product:client/package.json - Prototype Pollution in loader-utils,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:41 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2440,24840,DispatchHealth/partner-product - Improperly Controlled Modification of Dynamically-Determined Object Attributes,Vulnerabilities,,Done,PART-234,Express Tech Excellence,04/Apr/23 10:13 AM,13/Mar/23 11:49 PM,,,Legacy-Debt,Partner,partner-product-repo,
PART-2441,24442,DispatchHealth/services - Use of Password Hash With Insufficient Computational Effort,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,30/Mar/23 1:44 PM,13/Mar/23 9:05 PM,,,Legacy-Debt,Partner,Services-Repo,sev-low
PART-2442,24829,DispatchHealth/partner-product:client/package.json - Prototype Pollution in json5,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:46 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2443,24808,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in ansi-regex,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:40 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2444,24827,DispatchHealth/partner-product:client/package.json - Command Injection in lodash.template,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:24 AM,13/Mar/23 11:46 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2445,24828,DispatchHealth/partner-product:client/package.json - Reverse Tabnabbing in istanbul-reports,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:46 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2446,24809,DispatchHealth/partner-product:client/package.json - Prototype Pollution in immer,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:40 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2447,24821,DispatchHealth/partner-product:client/package.json - Improper Verification of Cryptographic Signature in node-forge,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:43 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2448,24822,DispatchHealth/partner-product:client/package.json - Improper Verification of Cryptographic Signature in node-forge,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:43 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2449,24820,DispatchHealth/partner-product:client/package.json - Prototype Pollution in node-forge,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:42 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2450,24825,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in loader-utils,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:45 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2451,24826,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in minimatch,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:45 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2452,24823,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in ansi-html,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:24 AM,13/Mar/23 11:43 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2453,24824,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in loader-utils,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04/Apr/23 10:23 AM,13/Mar/23 11:45 PM,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2455,26701,Update context/Statsig.js to TS file,Task,2.0,To Do,PART-234,Express Tech Excellence,28/Mar/23 9:24 AM,24/Mar/23 9:38 AM,Kevin Anderson,62cdf0d01e326fd93012992d,part/FE,,,
PART-2456,26706,FE: upgrade React Query package from v3.X to v4.x,Task,,To Do,PART-234,Express Tech Excellence,24/Mar/23 9:53 AM,24/Mar/23 9:53 AM,,,,,,
PART-2468,26775,"Decouple market ""nearest"" from market ""status"" service",Task,,To Do,PART-234,Express Tech Excellence,24/Mar/23 1:37 PM,24/Mar/23 1:37 PM,,,part/Backend,,,
PART-2469,27064,Update yaml to use official docker orb,Task,,To Do,PART-234,Express Tech Excellence,30/Mar/23 1:39 PM,27/Mar/23 10:07 AM,Ashton Mitchell,61a3edabb0b630006afda9e4,,,,
PART-2470,24441,DispatchHealth/services - Use of Password Hash With Insufficient Computational Effort,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,30/Mar/23 1:44 PM,13/Mar/23 9:04 PM,,,Legacy-Debt,Partner,Services-Repo,sev-low
PART-2477,27599,create logEvent utility,Task,3.0,Done,PART-234,Express Tech Excellence,12/Apr/23 5:54 PM,29/Mar/23 11:02 AM,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-2478,27611,Implement Segment Event Tracking,Task,,To Do,PART-234,Express Tech Excellence,18/Apr/23 1:25 PM,29/Mar/23 11:08 AM,,,,,,
PART-2489,27730,Source code should not be visible in production browser console,Task,,To Do,PART-234,Express Tech Excellence,30/Mar/23 1:39 PM,29/Mar/23 4:34 PM,,,,,,
PART-2497,28048,FF Removal: Remove Risk Strat Flags,Task,,To Do,PART-234,Express Tech Excellence,31/Mar/23 11:20 AM,31/Mar/23 11:19 AM,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,,,,
PART-2498,28049,FF Removal: partner_express_log_payloads,Task,,To Do,PART-234,Express Tech Excellence,31/Mar/23 11:24 AM,31/Mar/23 11:21 AM,Antonio Antillon,61f81bb630f6b8006aa75942,,,,
PART-2499,28050,FF Removal: partner_express_service_line_information_enabled,Task,1.0,To Do,PART-234,Express Tech Excellence,20/Apr/23 11:28 AM,31/Mar/23 11:21 AM,Giorgi Gelashvili,62cdef6c6eba71983721e037,,,,
PART-2500,28051,FF Removal: pop_health_service,Task,,To Do,PART-234,Express Tech Excellence,31/Mar/23 11:24 AM,31/Mar/23 11:22 AM,Antonio Antillon,61f81bb630f6b8006aa75942,,,,
PART-2501,28052,FF Removal: partner_express_sso_enabled,Task,1.0,To Do,PART-234,Express Tech Excellence,18/Apr/23 1:27 PM,31/Mar/23 11:24 AM,Giorgi Gelashvili,62cdef6c6eba71983721e037,,,,
PART-2502,28053,FF Removal: partner_express_nse_v2_enabled,Task,,Done,PART-234,Express Tech Excellence,05/Apr/23 8:36 AM,31/Mar/23 11:25 AM,Ashton Mitchell,61a3edabb0b630006afda9e4,,,,
PART-2503,28054,FF Removal: show-paginated-care-requests-table,Task,,To Do,PART-234,Express Tech Excellence,06/Apr/23 11:10 AM,31/Mar/23 11:27 AM,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-2504,28056,FF Removal: enable-care-request-timeline,Task,,To Do,PART-234,Express Tech Excellence,31/Mar/23 11:28 AM,31/Mar/23 11:27 AM,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-2505,28057,FF Removal: enable-risk-stratification,Task,,To Do,PART-234,Express Tech Excellence,31/Mar/23 11:28 AM,31/Mar/23 11:28 AM,Giorgi Gelashvili,62cdef6c6eba71983721e037,,,,
PART-2506,28058,FF Removal: after-hours-care-requests-enabled,Task,,To Do,PART-234,Express Tech Excellence,31/Mar/23 11:29 AM,31/Mar/23 11:29 AM,Giorgi Gelashvili,62cdef6c6eba71983721e037,,,,
PART-2507,28060,FF Removal: show-care-request-refactored-table,Task,,To Do,PART-234,Express Tech Excellence,31/Mar/23 11:30 AM,31/Mar/23 11:30 AM,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-2508,28061,FF Removal: enable_show_old_care_requests,Task,,To Do,PART-234,Express Tech Excellence,31/Mar/23 11:31 AM,31/Mar/23 11:31 AM,Giorgi Gelashvili,62cdef6c6eba71983721e037,,,,
PART-2509,28063,FF Removal: enable_care_request_search,Task,,To Do,PART-234,Express Tech Excellence,31/Mar/23 11:32 AM,31/Mar/23 11:31 AM,Giorgi Gelashvili,62cdef6c6eba71983721e037,,,,
PART-2520,28797,Implement Segment tracking,Task,2.0,To Do,PART-234,Express Tech Excellence,20/Apr/23 11:28 AM,05/Apr/23 12:03 PM,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/FE,,,
PART-2521,28799,logEvent when clientConfiguration dynamic config empty,Task,,To Do,PART-234,Express Tech Excellence,19/Apr/23 12:57 PM,05/Apr/23 12:07 PM,,,part/FE,,,
PART-2522,28802,Remove fallbackConfig in Statsig/getClientConfiguration,Task,,To Do,PART-234,Express Tech Excellence,05/Apr/23 12:15 PM,05/Apr/23 12:15 PM,,,part/FE,,,
PART-2524,28806,Upgrade Node,Task,2.0,In Progress,PART-234,Express Tech Excellence,20/Apr/23 10:25 AM,05/Apr/23 12:32 PM,Kevin Anderson,62cdf0d01e326fd93012992d,part/FE,,,
PART-2526,28993,Configure backend connection with insurance service,Task,2.0,Canceled,PART-2394,Insurance Restructure,20/Apr/23 10:45 AM,06/Apr/23 10:52 AM,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-2549,29725,estimate an effort for migrating to vite from CRA,Task,2.0,In Progress,PART-234,Express Tech Excellence,20/Apr/23 11:16 AM,11/Apr/23 11:45 AM,Giorgi Gelashvili,62cdef6c6eba71983721e037,,,,
PART-2569,30337, Fix Flaky test('should show total pages count in pagination') - Care Requests Page,Task,1.0,To Do,PART-234,Express Tech Excellence,20/Apr/23 11:29 AM,14/Apr/23 11:11 AM,Kevin Anderson,62cdf0d01e326fd93012992d,part/FE,,,
PART-2576,30868,(BE) Add payer_id and network_id to the insurance table,Task,,To Do,PART-2394,Insurance Restructure,20/Apr/23 11:28 AM,18/Apr/23 1:13 PM,Antonio Antillon,61f81bb630f6b8006aa75942,part/Backend,,,
PART-2577,30869,(BE) Return insurance payer_id and network_id as part of the patient insurance data,Task,,To Do,PART-2394,Insurance Restructure,20/Apr/23 11:28 AM,18/Apr/23 1:14 PM,Antonio Antillon,61f81bb630f6b8006aa75942,part/Backend,,,
PART-2578,30870,(FE) Edit patient - prepopulate the payer and network inputs,Task,1.0,To Do,PART-2394,Insurance Restructure,20/Apr/23 11:28 AM,18/Apr/23 1:15 PM,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2579,31003,Flaky backend test - user_profile last_login,Task,1.0,To Do,PART-234,Express Tech Excellence,21/Apr/23 10:40 AM,19/Apr/23 10:18 AM,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-2580,31050,Fix ServiceLineInformation flaky test,Task,1.0,To Do,PART-234,Express Tech Excellence,20/Apr/23 11:28 AM,19/Apr/23 11:51 AM,Giorgi Gelashvili,62cdef6c6eba71983721e037,,,,
PART-2585,31228,Default insurance + feature gate logic,Task,1.0,Code Review,PART-2394,Insurance Restructure,21/Apr/23 12:40 PM,20/Apr/23 10:56 AM,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2586,31229,(FE) Add payer_id and network_id to the insurance object submited on the care request,Task,,To Do,PART-2394,Insurance Restructure,20/Apr/23 11:29 AM,20/Apr/23 10:57 AM,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
