Issue key,Issue id,Summary,Issue Type,Custom field (Story Points),Status,Custom field (Epic Link),Epic Link Summary,Updated,Created,Assignee,Assignee Id,Labels,Labels,Labels,Labels
PART-66,20985,Configure CI devDependencies,Task,,To Do,PART-234,Express Tech Excellence,02-03-23 14:15,23-01-23 11:48,,,,,,
PART-69,20986,Optimize paginated care request queries (memory),Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,24-01-23 13:24,,,part/Backend,,,
PART-76,20987,FE: add jest-mock-extended library - testing with TS easily,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,25-01-23 17:13,,,,,,
PART-79,20988,Lint FE on CI - phase 1,Task,,To Do,PART-234,Express Tech Excellence,07-04-23 13:37,27-01-23 13:14,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-81,20789,Refactor the finalize care - risk strat bypass implementation,Task,3,To Do,PART-234,Express Tech Excellence,07-03-23 7:33,30-01-23 14:35,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
PART-83,20989,GitHub pr template: feature gate & pic/vid checkbox,Task,,Done,PART-234,Express Tech Excellence,05-04-23 8:36,31-01-23 11:38,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-91,20991,TechDebt: Eager loading associations in queries,Task,1,To Do,PART-234,Express Tech Excellence,14-03-23 14:11,01-02-23 15:31,Antonio Antillon,61f81bb630f6b8006aa75942,part/tech-debt,,,
PART-92,20992,Backend refactor to risk strat bypass implementation,Task,3,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,02-02-23 14:08,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-93,20993,Frontend specs spike: investigate how we can speed up our specs,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,02-02-23 14:11,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-94,20994,Frontend tests: Parallelize and randomize,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,02-02-23 14:12,,,part/Frontend,,,
PART-96,20995,Add tests to AccessModal.jsx,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,08-02-23 10:14,,,part/Frontend,,,
PART-97,20996,Deprecate useCareRequest and useCareRequestsSearch hooks,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,09-02-23 12:26,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-102,20822,Add alphabetical ordering to partner and users lists (backend),Task,,Done,PART-234,Express Tech Excellence,05-04-23 8:36,10-02-23 12:10,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-103,20823,Remove flag (FE) - risk_strat_bypass_express,Task,2,Canceled,PART-234,Express Tech Excellence,02-03-23 14:10,13-02-23 10:16,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
PART-104,20997,Remove flag (BE) - pop_health_service,Task,1,To Do,PART-234,Express Tech Excellence,11-04-23 11:26,13-02-23 10:18,Antonio Antillon,61f81bb630f6b8006aa75942,part/Backend,,,
PART-105,20998,partner_express_nse_v3_enabled - spike to explore and create tickets to remove task,Task,2,To Do,PART-234,Express Tech Excellence,20-04-23 11:27,13-02-23 10:18,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
PART-106,20999,Remove flag (BE) - partner_express_nse_v3_enabled,Story,,To Do,PART-234,Express Tech Excellence,18-04-23 13:20,13-02-23 10:19,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-108,21001,FE: add no focused tests lint rule,Task,0.5,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,13-02-23 11:36,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-109,21002,Fix More Flaky  JS Tests in PartnerInformationPage,Task,,Done,PART-234,Express Tech Excellence,05-04-23 8:36,13-02-23 17:01,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-110,21003,"Custom hook to detect a device type (isMobile, isTablet, isDesktop)",Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,13-02-23 17:25,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
PART-111,21004,Map the values from the design to the theme,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,13-02-23 17:26,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
PART-112,20856,Flaky Source requests spec,Bug,1,To Do,PART-234,Express Tech Excellence,24-02-23 14:45,14-02-23 13:02,,,part/tech-debt,,,
PART-114,21005,Set Datadog RUM config from statsig context,Task,1,To Do,PART-234,Express Tech Excellence,07-03-23 7:35,14-02-23 17:23,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
PART-115,21006,Configure UAT for Cypress e2e,Task,,To Do,PART-234,Express Tech Excellence,02-03-23 14:01,15-02-23 14:51,,,,,,
PART-120,21007,FE: fix data dog test / refactor setupTest,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,22-02-23 13:57,,,,,,
PART-129,20806,FE: update theme,Task,,Done,PART-234,Express Tech Excellence,05-04-23 8:36,23-02-23 11:19,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-137,20807,Dynamic Config for FE vars,Task,3,Done,PART-234,Express Tech Excellence,07-04-23 12:23,24-02-23 12:33,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-180,20754,"Client: add location, channel and all_status endpoints to MSW",Task,2,To Do,PART-234,Express Tech Excellence,02-03-23 13:49,23-05-22 13:39,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,part/nse,,
PART-190,21038,Database problems - Clean up care request statuses,Task,,To Do,PART-234,Express Tech Excellence,02-03-23 14:05,26-05-22 13:58,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,,,,
PART-191,21039,Database problems - Clean up care request,Task,,Canceled,PART-234,Express Tech Excellence,02-03-23 14:05,26-05-22 14:01,,,,,,
PART-229,20763,Use Formik in the partner add and edit market component,Story,2,To Do,PART-234,Express Tech Excellence,27-02-23 10:23,18-07-22 12:29,Giorgi Gelashvili,62cdef6c6eba71983721e037,,,,
PART-231,20755,Frontend: Call only status service,Task,,To Do,PART-234,Express Tech Excellence,27-02-23 10:23,19-07-22 14:12,,,part/Frontend,,,
PART-235,21047,Fix Dependabot alerts,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:47,01-07-22 10:42,,,part/Backend,part/Frontend,,
PART-236,20774,Express client-side logging,Task,2,Code Review,PART-234,Express Tech Excellence,27-02-23 10:23,12-07-22 10:51,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
PART-242,21049,Update React Router to 6.x.x,Task,3,To Do,PART-234,Express Tech Excellence,20-04-23 11:27,08-12-21 15:31,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/express,part/express-22-h1,part/tech-debt,
PART-259,20808,Investigate: Cron job overrunning allocated resources (remove cron),Task,,Done,PART-234,Express Tech Excellence,05-04-23 8:36,23-08-22 16:54,Dan Cohn,607f2fef739dd40069a4b2a3,part/Backend,,,
PART-309,20783,Fix flaky tests in backend: markets_swagger_spec.rb:24,Task,2,To Do,PART-234,Express Tech Excellence,07-03-23 7:39,20-10-22 9:38,Antonio Antillon,61f81bb630f6b8006aa75942,part/Backend,,,
PART-327,21081,Remove old Rollout Popup Banner,Task,2,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,06-11-22 15:49,,,part/Frontend,part/nse,,
PART-328,21082,Remove all usages of '||' (or operator) related to partnerId,Task,2,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,07-11-22 16:03,,,part/Frontend,part/nse,,
PART-337,21083,Implement custom randomized sequencer for FE tests,Task,3,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,14-11-22 16:21,,,part/Frontend,part/nse,,
PART-342,20790,Implement Slack alerts triggered by Datadog logs on Express,Task,1,To Do,PART-234,Express Tech Excellence,07-03-23 7:25,18-11-22 10:13,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-353,21085,Refactor ChiefComplaint to use Formik,Task,3,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,25-11-22 13:04,,,part/Frontend,part/nse,part/tech-debt,
PART-371,21087,Code cleanup: remove partner.genesys_email from frontend,Task,1,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,14-12-22 12:29,,,part/Frontend,,,
PART-372,21088,Code cleanup: remove old partner form (frontend),Task,1,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,14-12-22 12:29,,,part/Frontend,,,
PART-388,21093,replace createReducer with builder callback RTK,Task,,To Do,PART-234,Express Tech Excellence,05-04-23 11:34,06-01-23 15:07,,,,,,
PART-389,21094,Tech Excellence: fix HashRouter warning,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,06-01-23 15:09,,,,,,
PART-390,21095,Tech Excellence: fix PrivateRoute test/prop warnings,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,06-01-23 15:10,,,,,,
PART-391,21096,Tech Excellence: fix InputWithChips test warnings,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,06-01-23 15:11,,,,,,
PART-393,21098,Tech Excellence FE : migrate MUI from v4 to v5,Task,,To Do,PART-234,Express Tech Excellence,10-03-23 14:00,09-01-23 14:55,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-394,21099,Tech Excellence FE : swap MUI for DS components,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,09-01-23 14:58,,,,,,
PART-395,21100,Tech Excellence FE : replace Express theme with DS theme,Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,09-01-23 15:01,,,,,,
PART-397,21101,Upgrade React Scripts package - exploration,Task,,Done,PART-234,Express Tech Excellence,05-04-23 8:36,12-01-23 11:42,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-403,21103,"FE: upgrade ""@testing-library/cypress""",Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,19-01-23 12:20,,,,,,
PART-404,21104,"FE: upgrade ""@testing-library/react""",Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,19-01-23 12:22,,,,,,
PART-405,21105,"FE: upgrade ""@testing-library/react-hooks""",Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,19-01-23 12:22,,,,,,
PART-406,21106,"FE: upgrade ""@testing-library/user-event""",Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,19-01-23 12:23,,,,,,
PART-407,21107,"FE: upgrade ""cypress""",Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,19-01-23 12:24,,,,,,
PART-408,21108,"FE: upgrade ""react router""",Task,,Canceled,PART-234,Express Tech Excellence,04-04-23 13:17,19-01-23 12:26,,,,,,
PART-410,21109,FE: align our types packages with the packages we use (versions),Task,,To Do,PART-234,Express Tech Excellence,24-02-23 14:48,19-01-23 12:27,,,,,,
PART-2293,22197,Remove cron from Procfile and remove Aptible services,Story,1,Done,PART-234,Express Tech Excellence,02-03-23 9:39,28-02-23 12:05,Dan Cohn,607f2fef739dd40069a4b2a3,,,,
PART-2296,22255,Add bundle back to dockerfile,Story,1,Done,PART-234,Express Tech Excellence,14-03-23 8:43,28-02-23 15:55,Dan Cohn,607f2fef739dd40069a4b2a3,,,,
PART-2326,23124,Integration Test - Care Requests Page Filter Menu Click Away,Task,1,To Do,PART-234,Express Tech Excellence,28-03-23 9:24,06-03-23 11:59,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2330,23233,FE: Fix Flaky Test : SummaryCard & PartnerInformationPage,Task,0.5,Canceled,PART-234,Express Tech Excellence,09-03-23 14:43,07-03-23 7:53,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-2334,23365,Fix Flaky Test : PartnerInformationPage - bypass risk option,Task,,Done,PART-234,Express Tech Excellence,05-04-23 8:36,07-03-23 13:59,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2335,23369,Flaky ruby spec on CareRequest Query service,Task,,To Do,PART-234,Express Tech Excellence,07-03-23 14:07,07-03-23 14:07,Antonio Antillon,61f81bb630f6b8006aa75942,,,,
PART-2336,23441,Demote MarketStatus::Nearest error messages to warn messages in logs,Task,,To Do,PART-234,Express Tech Excellence,07-03-23 19:55,07-03-23 19:55,Antonio Antillon,61f81bb630f6b8006aa75942,,,,
PART-2338,23496,Daily Summary calls in station cause a DB spike at 10am everyday,Bug,0,Canceled,PART-234,Express Tech Excellence,03-04-23 10:08,08-03-23 9:51,,,,,,
PART-2341,23678,Add Rake task - delete partners,Task,1,To Do,PART-234,Express Tech Excellence,18-04-23 13:19,08-03-23 15:00,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-2342,23698,Add Swagger docs for GET care requests endpoints (show and index),Task,,Canceled,PART-234,Express Tech Excellence,21-03-23 13:16,08-03-23 16:10,,,part/Backend,,,
PART-2346,23809,Standardize the use of error key in the backend failure responses,Task,,To Do,PART-234,Express Tech Excellence,09-03-23 12:28,09-03-23 12:28,,,,,,
PART-2349,24050,Optimize account access,Task,2,Code Review,PART-234,Express Tech Excellence,11-04-23 11:31,10-03-23 14:41,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
PART-2350,24087,Create hook/careRequests dir,Task,,Done,PART-234,Express Tech Excellence,05-04-23 8:36,10-03-23 16:49,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2352,24354,Remove flag (FE) - care_requests_page (including old dashboard),Task,,To Do,PART-234,Express Tech Excellence,06-04-23 11:13,13-03-23 12:17,,,part/Frontend,,,
PART-2353,24358,Remove flag (BE) - care_requests_page,Task,,To Do,PART-234,Express Tech Excellence,06-04-23 11:13,13-03-23 12:20,,,part/Backend,,,
PART-2355,24413,PartnerMarketsPage.js / fix flaky test,Bug,2,To Do,PART-234,Express Tech Excellence,18-04-23 13:22,13-03-23 15:20,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2374,25430,Research existing Statsig feature gates - generate AIs for each,Task,,Done,PART-234,Express Tech Excellence,05-04-23 8:36,16-03-23 13:52,Dan Cohn,607f2fef739dd40069a4b2a3,part/Backend,,,
PART-2375,25436,Migrate existing Statsig flags / dynamic configs to A/B project,Task,3,To Do,PART-234,Express Tech Excellence,20-04-23 11:21,16-03-23 14:04,Giorgi Gelashvili,62cdef6c6eba71983721e037,,,,
PART-2376,25440,Fix impersonation feature (too slow),Task,,Canceled,PART-234,Express Tech Excellence,16-03-23 16:33,16-03-23 14:28,,,,,,
PART-2380,25460,Remove deprecated market zipcode route from Station,Task,1,Code Review,PART-234,Express Tech Excellence,11-04-23 11:16,16-03-23 15:54,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-2389,25829,Upgrade React Scripts - 2 ,Task,3,In Progress,PART-234,Express Tech Excellence,20-04-23 10:25,20-03-23 11:02,Kevin Anderson,62cdf0d01e326fd93012992d,part/FE,,,
PART-2392,26070,Refactor Typescript Enum to use PascalCase,Task,1,To Do,PART-234,Express Tech Excellence,28-03-23 9:23,21-03-23 11:35,Kevin Anderson,62cdf0d01e326fd93012992d,part/FE,,,
PART-2395,26267,Add 'Select Payer' input to insurance page,Story,,In Progress,PART-2394,Insurance Restructure,17-04-23 14:35,22-03-23 11:11,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-2396,26268,Add 'Select Network' input to insurance page,Story,,To Do,PART-2394,Insurance Restructure,18-04-23 13:21,22-03-23 11:12,Kevin Anderson,62cdf0d01e326fd93012992d,,,,
PART-2397,26271,UI : view - Payer field,Task,2,Done,PART-2394,Insurance Restructure,20-04-23 10:40,22-03-23 11:15,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2398,26276,UI: payer field - api hook & data type ,Task,2,To Do,PART-2394,Insurance Restructure,20-04-23 11:28,22-03-23 11:25,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2399,26277,UI: Feature Gate - new fields ,Task,1,Done,PART-2394,Insurance Restructure,13-04-23 7:53,22-03-23 11:26,Kevin Anderson,62cdf0d01e326fd93012992d,part/Frontend,,,
PART-2400,26278,(BE) New backend insurance-payer endpoint,Task,2,To Do,PART-2394,Insurance Restructure,20-04-23 11:28,22-03-23 11:27,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-2401,26279,New backend service to fetch insurance-payer data from Station,Task,2,In Progress,PART-2394,Insurance Restructure,20-04-23 14:08,22-03-23 11:27,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,part/Backend,,,
PART-2402,26280,Update E2E tests - payer,Task,,To Do,PART-2394,Insurance Restructure,22-03-23 11:32,22-03-23 11:28,,,part/Frontend,,,
PART-2403,26281, UI view for the select network input,Task,,To Do,PART-2394,Insurance Restructure,20-04-23 11:28,22-03-23 11:28,Giorgi Gelashvili,62cdef6c6eba71983721e037,part/Frontend,,,
PART-2404,26282,UI api hook and data type - network,Task,,Canceled,PART-2394,Insurance Restructure,06-04-23 10:42,22-03-23 11:29,,,part/Frontend,,,
PART-2405,26283,New backend insurance-network endpoint,Task,,Canceled,PART-2394,Insurance Restructure,06-04-23 10:42,22-03-23 11:30,,,part/Backend,,,
PART-2406,26284,New backend service to fetch insurance-network data from Station,Task,,Canceled,PART-2394,Insurance Restructure,06-04-23 10:42,22-03-23 11:31,,,part/Backend,,,
PART-2407,26285,Update E2E tests - network,Task,,To Do,PART-2394,Insurance Restructure,22-03-23 11:31,22-03-23 11:31,,,part/Frontend,,,
PART-2410,26327,Remove create_care_request_server_error_handling feature gate and code,Task,,To Do,PART-234,Express Tech Excellence,22-03-23 13:48,22-03-23 13:48,,,part/FE,,,
PART-2411,26328,Remove create_care_request_server_error_handling feature gate and code,Task,,Canceled,PART-234,Express Tech Excellence,22-03-23 13:49,22-03-23 13:49,,,part/FE,,,
PART-2415,26577,Investigate Statsig FeatureGateList not working,Task,,To Do,PART-234,Express Tech Excellence,23-03-23 14:59,23-03-23 14:58,,,,,,
PART-2420,24818,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in postcss,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04-04-23 10:23,13-03-23 23:42,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2421,24819,DispatchHealth/partner-product:client/package.json - Improper Verification of Cryptographic Signature in node-forge,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04-04-23 10:23,13-03-23 23:42,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2422,24816,DispatchHealth/partner-product:client/package.json - Open Redirect in node-forge,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04-04-23 10:23,13-03-23 23:42,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2423,24838,DispatchHealth/partner-product - Use of Externally-Controlled Format String,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04-04-23 10:23,13-03-23 23:48,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2424,24839,DispatchHealth/partner-product - Use of Hardcoded Credentials,Vulnerabilities,1,Canceled,PART-234,Express Tech Excellence,19-04-23 11:14,13-03-23 23:49,Sam Lanker,62cdf020afe495359d9d9b0b,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2425,24817,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in postcss,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04-04-23 10:23,13-03-23 23:42,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2426,24810,DispatchHealth/partner-product:client/package.json - Regular Expression Denial of Service (ReDoS) in nth-check,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04-04-23 10:23,13-03-23 23:41,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2427,24832,DispatchHealth/partner-product:Gemfile.lock - GPL-2.0 license in colorize,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04-04-23 10:24,13-03-23 23:47,,,Legacy-Debt,Partner,partner-product-repo,sev-high
PART-2428,24811,DispatchHealth/partner-product:client/package.json - Prototype Pollution in immer,Vulnerabilities,,To Do,PART-234,Express Tech Excellence,04-04-23 10:23,13-03-23 23:41,,,Legacy-Debt,Partner,partner-product-repo,sev-medium
PART-2429,24833,DispatchHealth/partner-product:Gemfile.lock - Web Cache Poisoning in rack,Vulnerabilities,1,Code Review,PART-234,Express Tech Excellence,14-04-23 12:28,13-03-23 23:47,Antonio Antillon,61f81bb630f6b8006aa75942,Legacy-Debt,Partner,partner-product-repo,sev-medium
