Issue key,Issue id,Summary,Issue Type,Custom field (Story Points),Status,Custom field (Epic Link),Epic Link Summary,Assignee,Assignee Id,Created,Updated,Labels,Labels,Labels,Labels
PART-66,20985,Configure CI devDependencies,Task,,To Do,PART-234,Express Tech Excellence,,,23/Jan/23 11:48 AM,02/Mar/23 2:15 PM,,,,
PART-69,20986,Optimize paginated care request queries (memory),Task,,To Do,PART-234,Express Tech Excellence,,,24/Jan/23 1:24 PM,24/Feb/23 2:47 PM,part/Backend,,,
PART-76,20987,FE: add jest-mock-extended library - testing with TS easily,Task,,To Do,PART-234,Express Tech Excellence,,,25/Jan/23 5:13 PM,24/Feb/23 2:47 PM,,,,
PART-79,20988,Lint FE on CI - phase 1,Task,,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,27/Jan/23 1:14 PM,07/Apr/23 1:37 PM,part/Frontend,,,
PART-81,20789,Refactor the finalize care - risk strat bypass implementation,Task,3.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,30/Jan/23 2:35 PM,07/Mar/23 7:33 AM,part/Frontend,,,
PART-83,20989,GitHub pr template: feature gate & pic/vid checkbox,Task,,Done,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,31/Jan/23 11:38 AM,05/Apr/23 8:36 AM,,,,
PART-91,20991,TechDebt: Eager loading associations in queries,Task,1.0,To Do,PART-234,Express Tech Excellence,Antonio Antillon,61f81bb630f6b8006aa75942,01/Feb/23 3:31 PM,14/Mar/23 2:11 PM,part/tech-debt,,,
PART-92,20992,Backend refactor to risk strat bypass implementation,Task,3.0,To Do,PART-234,Express Tech Excellence,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,02/Feb/23 2:08 PM,24/Feb/23 2:48 PM,part/Backend,,,
PART-93,20993,Frontend specs spike: investigate how we can speed up our specs,Task,,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,02/Feb/23 2:11 PM,24/Feb/23 2:47 PM,part/Frontend,,,
PART-94,20994,Frontend tests: Parallelize and randomize,Task,,To Do,PART-234,Express Tech Excellence,,,02/Feb/23 2:12 PM,24/Feb/23 2:47 PM,part/Frontend,,,
PART-96,20995,Add tests to AccessModal.jsx,Task,,To Do,PART-234,Express Tech Excellence,,,08/Feb/23 10:14 AM,24/Feb/23 2:47 PM,part/Frontend,,,
PART-97,20996,Deprecate useCareRequest and useCareRequestsSearch hooks,Task,,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,09/Feb/23 12:26 PM,24/Feb/23 2:47 PM,,,,
PART-102,20822,Add alphabetical ordering to partner and users lists (backend),Task,,Done,PART-234,Express Tech Excellence,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,10/Feb/23 12:10 PM,05/Apr/23 8:36 AM,part/Backend,,,
PART-103,20823,Remove flag (FE) - risk_strat_bypass_express,Task,2.0,Canceled,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,13/Feb/23 10:16 AM,02/Mar/23 2:10 PM,part/Frontend,,,
PART-104,20997,Remove flag (BE) - pop_health_service,Task,1.0,Done,PART-234,Express Tech Excellence,Antonio Antillon,61f81bb630f6b8006aa75942,13/Feb/23 10:18 AM,27/Apr/23 1:10 PM,part/Backend,,,
PART-105,20998,partner_express_nse_v3_enabled - spike to explore and create tickets to remove task,Task,2.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,13/Feb/23 10:18 AM,25/Apr/23 11:23 AM,part/Frontend,,,
PART-106,20999,Remove flag (BE) - partner_express_nse_v3_enabled,Story,,To Do,PART-234,Express Tech Excellence,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,13/Feb/23 10:19 AM,25/Apr/23 11:28 AM,part/Backend,,,
PART-108,21001,FE: add no focused tests lint rule,Task,0.5,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,13/Feb/23 11:36 AM,24/Feb/23 2:48 PM,,,,
PART-109,21002,Fix More Flaky  JS Tests in PartnerInformationPage,Task,,Done,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,13/Feb/23 5:01 PM,05/Apr/23 8:36 AM,,,,
PART-110,21003,"Custom hook to detect a device type (isMobile, isTablet, isDesktop)",Task,,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,13/Feb/23 5:25 PM,24/Feb/23 2:47 PM,part/Frontend,,,
PART-111,21004,Map the values from the design to the theme,Task,,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,13/Feb/23 5:26 PM,24/Feb/23 2:47 PM,part/Frontend,,,
PART-112,20856,Flaky Source requests spec,Bug,1.0,To Do,PART-234,Express Tech Excellence,,,14/Feb/23 1:02 PM,24/Feb/23 2:45 PM,part/tech-debt,,,
PART-114,21005,Set Datadog RUM config from statsig context,Task,1.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,14/Feb/23 5:23 PM,07/Mar/23 7:35 AM,part/Frontend,,,
PART-115,21006,Configure UAT for Cypress e2e,Task,,To Do,PART-234,Express Tech Excellence,,,15/Feb/23 2:51 PM,02/Mar/23 2:01 PM,,,,
PART-120,21007,FE: fix data dog test / refactor setupTest,Task,,To Do,PART-234,Express Tech Excellence,,,22/Feb/23 1:57 PM,24/Feb/23 2:47 PM,,,,
PART-129,20806,FE: update theme,Task,,Done,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,23/Feb/23 11:19 AM,05/Apr/23 8:36 AM,,,,
PART-137,20807,Dynamic Config for FE vars,Task,3.0,Done,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,24/Feb/23 12:33 PM,07/Apr/23 12:23 PM,part/Frontend,,,
PART-180,20754,"Client: add location, channel and all_status endpoints to MSW",Task,2.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,23/May/22 1:39 PM,02/Mar/23 1:49 PM,part/Frontend,part/nse,,
PART-190,21038,Database problems - Clean up care request statuses,Task,,To Do,PART-234,Express Tech Excellence,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,26/May/22 1:58 PM,02/Mar/23 2:05 PM,,,,
PART-191,21039,Database problems - Clean up care request,Task,,Canceled,PART-234,Express Tech Excellence,,,26/May/22 2:01 PM,02/Mar/23 2:05 PM,,,,
PART-229,20763,Use Formik in the partner add and edit market component,Story,2.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,18/Jul/22 12:29 PM,27/Feb/23 10:23 AM,,,,
PART-231,20755,Frontend: Call only status service,Task,,To Do,PART-234,Express Tech Excellence,,,19/Jul/22 2:12 PM,27/Feb/23 10:23 AM,part/Frontend,,,
PART-235,21047,Fix Dependabot alerts,Task,,To Do,PART-234,Express Tech Excellence,,,01/Jul/22 10:42 AM,24/Feb/23 2:47 PM,part/Backend,part/Frontend,,
PART-236,20774,Express client-side logging,Task,2.0,Code Review,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,12/Jul/22 10:51 AM,27/Feb/23 10:23 AM,part/Frontend,,,
PART-242,21049,Update React Router to 6.x.x,Task,3.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,08/Dec/21 3:31 PM,20/Apr/23 11:27 AM,part/express,part/express-22-h1,part/tech-debt,
PART-259,20808,Investigate: Cron job overrunning allocated resources (remove cron),Task,,Done,PART-234,Express Tech Excellence,Dan Cohn,607f2fef739dd40069a4b2a3,23/Aug/22 4:54 PM,05/Apr/23 8:36 AM,part/Backend,,,
PART-309,20783,Fix flaky tests in backend: markets_swagger_spec.rb:24,Task,2.0,To Do,PART-234,Express Tech Excellence,Antonio Antillon,61f81bb630f6b8006aa75942,20/Oct/22 9:38 AM,07/Mar/23 7:39 AM,part/Backend,,,
PART-327,21081,Remove old Rollout Popup Banner,Task,2.0,To Do,PART-234,Express Tech Excellence,,,06/Nov/22 3:49 PM,24/Feb/23 2:48 PM,part/Frontend,part/nse,,
PART-328,21082,Remove all usages of '||' (or operator) related to partnerId,Task,2.0,To Do,PART-234,Express Tech Excellence,,,07/Nov/22 4:03 PM,24/Feb/23 2:48 PM,part/Frontend,part/nse,,
PART-337,21083,Implement custom randomized sequencer for FE tests,Task,3.0,To Do,PART-234,Express Tech Excellence,,,14/Nov/22 4:21 PM,24/Feb/23 2:48 PM,part/Frontend,part/nse,,
PART-342,20790,Implement Slack alerts triggered by Datadog logs on Express,Task,1.0,To Do,PART-234,Express Tech Excellence,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,18/Nov/22 10:13 AM,27/Apr/23 10:55 AM,part/Backend,,,
PART-353,21085,Refactor ChiefComplaint to use Formik,Task,3.0,To Do,PART-234,Express Tech Excellence,,,25/Nov/22 1:04 PM,24/Feb/23 2:48 PM,part/Frontend,part/nse,part/tech-debt,
PART-371,21087,Code cleanup: remove partner.genesys_email from frontend,Task,1.0,To Do,PART-234,Express Tech Excellence,,,14/Dec/22 12:29 PM,24/Feb/23 2:48 PM,part/Frontend,,,
PART-372,21088,Code cleanup: remove old partner form (frontend),Task,1.0,To Do,PART-234,Express Tech Excellence,,,14/Dec/22 12:29 PM,24/Feb/23 2:48 PM,part/Frontend,,,
PART-388,21093,replace createReducer with builder callback RTK,Task,,To Do,PART-234,Express Tech Excellence,,,06/Jan/23 3:07 PM,05/Apr/23 11:34 AM,,,,
PART-389,21094,Tech Excellence: fix HashRouter warning,Task,,To Do,PART-234,Express Tech Excellence,,,06/Jan/23 3:09 PM,24/Feb/23 2:48 PM,,,,
PART-390,21095,Tech Excellence: fix PrivateRoute test/prop warnings,Task,,To Do,PART-234,Express Tech Excellence,,,06/Jan/23 3:10 PM,24/Feb/23 2:48 PM,,,,
PART-391,21096,Tech Excellence: fix InputWithChips test warnings,Task,,To Do,PART-234,Express Tech Excellence,,,06/Jan/23 3:11 PM,24/Feb/23 2:48 PM,,,,
PART-393,21098,Tech Excellence FE : migrate MUI from v4 to v5,Task,,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,09/Jan/23 2:55 PM,10/Mar/23 2:00 PM,part/Frontend,,,
PART-394,21099,Tech Excellence FE : swap MUI for DS components,Task,,To Do,PART-234,Express Tech Excellence,,,09/Jan/23 2:58 PM,24/Feb/23 2:48 PM,,,,
PART-395,21100,Tech Excellence FE : replace Express theme with DS theme,Task,,To Do,PART-234,Express Tech Excellence,,,09/Jan/23 3:01 PM,24/Feb/23 2:48 PM,,,,
PART-397,21101,Upgrade React Scripts package - exploration,Task,,Done,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,12/Jan/23 11:42 AM,05/Apr/23 8:36 AM,part/Frontend,,,
PART-403,21103,"FE: upgrade ""@testing-library/cypress""",Task,,To Do,PART-234,Express Tech Excellence,,,19/Jan/23 12:20 PM,24/Feb/23 2:48 PM,,,,
PART-404,21104,"FE: upgrade ""@testing-library/react""",Task,,To Do,PART-234,Express Tech Excellence,,,19/Jan/23 12:22 PM,24/Feb/23 2:48 PM,,,,
PART-405,21105,"FE: upgrade ""@testing-library/react-hooks""",Task,,To Do,PART-234,Express Tech Excellence,,,19/Jan/23 12:22 PM,24/Feb/23 2:48 PM,,,,
PART-406,21106,"FE: upgrade ""@testing-library/user-event""",Task,,To Do,PART-234,Express Tech Excellence,,,19/Jan/23 12:23 PM,24/Feb/23 2:48 PM,,,,
PART-407,21107,"FE: upgrade ""cypress""",Task,,To Do,PART-234,Express Tech Excellence,,,19/Jan/23 12:24 PM,24/Feb/23 2:48 PM,,,,
PART-408,21108,"FE: upgrade ""react router""",Task,,Canceled,PART-234,Express Tech Excellence,,,19/Jan/23 12:26 PM,04/Apr/23 1:17 PM,,,,
PART-410,21109,FE: align our types packages with the packages we use (versions),Task,,To Do,PART-234,Express Tech Excellence,,,19/Jan/23 12:27 PM,24/Feb/23 2:48 PM,,,,
PART-2293,22197,Remove cron from Procfile and remove Aptible services,Story,1.0,Done,PART-234,Express Tech Excellence,Dan Cohn,607f2fef739dd40069a4b2a3,28/Feb/23 12:05 PM,02/Mar/23 9:39 AM,,,,
PART-2296,22255,Add bundle back to dockerfile,Story,1.0,Done,PART-234,Express Tech Excellence,Dan Cohn,607f2fef739dd40069a4b2a3,28/Feb/23 3:55 PM,14/Mar/23 8:43 AM,,,,
PART-2326,23124,Integration Test - Care Requests Page Filter Menu Click Away,Task,1.0,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,06/Mar/23 11:59 AM,28/Mar/23 9:24 AM,part/Frontend,,,
PART-2330,23233,FE: Fix Flaky Test : SummaryCard & PartnerInformationPage,Task,0.5,Canceled,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,07/Mar/23 7:53 AM,09/Mar/23 2:43 PM,,,,
PART-2334,23365,Fix Flaky Test : PartnerInformationPage - bypass risk option,Task,,Done,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,07/Mar/23 1:59 PM,05/Apr/23 8:36 AM,part/Frontend,,,
PART-2335,23369,Flaky ruby spec on CareRequest Query service,Task,,To Do,PART-234,Express Tech Excellence,Antonio Antillon,61f81bb630f6b8006aa75942,07/Mar/23 2:07 PM,07/Mar/23 2:07 PM,,,,
PART-2336,23441,Demote MarketStatus::Nearest error messages to warn messages in logs,Task,,To Do,PART-234,Express Tech Excellence,Antonio Antillon,61f81bb630f6b8006aa75942,07/Mar/23 7:55 PM,07/Mar/23 7:55 PM,,,,
PART-2338,23496,Daily Summary calls in station cause a DB spike at 10am everyday,Bug,0.0,Canceled,PART-234,Express Tech Excellence,,,08/Mar/23 9:51 AM,03/Apr/23 10:08 AM,,,,
PART-2341,23678,Add Rake task - delete partners,Task,1.0,To Do,PART-234,Express Tech Excellence,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,08/Mar/23 3:00 PM,18/Apr/23 1:19 PM,part/Backend,,,
PART-2342,23698,Add Swagger docs for GET care requests endpoints (show and index),Task,,Canceled,PART-234,Express Tech Excellence,,,08/Mar/23 4:10 PM,21/Mar/23 1:16 PM,part/Backend,,,
PART-2346,23809,Standardize the use of error key in the backend failure responses,Task,,To Do,PART-234,Express Tech Excellence,,,09/Mar/23 12:28 PM,09/Mar/23 12:28 PM,,,,
PART-2349,24050,Optimize account access,Task,2.0,In Progress,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,10/Mar/23 2:41 PM,26/Apr/23 11:52 AM,part/Frontend,,,
PART-2350,24087,Create hook/careRequests dir,Task,,Done,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,10/Mar/23 4:49 PM,05/Apr/23 8:36 AM,part/Frontend,,,
PART-2352,24354,Remove flag (FE) - care_requests_page (including old dashboard),Task,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 12:17 PM,06/Apr/23 11:13 AM,part/Frontend,,,
PART-2353,24358,Remove flag (BE) - care_requests_page,Task,,To Do,PART-234,Express Tech Excellence,,,13/Mar/23 12:20 PM,06/Apr/23 11:13 AM,part/Backend,,,
PART-2355,24413,PartnerMarketsPage.js / fix flaky test,Bug,2.0,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,13/Mar/23 3:20 PM,27/Apr/23 2:34 PM,part/Frontend,,,
PART-2358,25001,Create table sso_configuration associated to partner,Task,2.0,Done,PART-2357,SSO Emory Integration,Antonio Antillon,61f81bb630f6b8006aa75942,14/Mar/23 10:37 AM,12/Apr/23 1:50 PM,part/Backend,,,
PART-2359,25002,Map emory's public_id into Auth0's user_id (in saml connection),Task,1.0,To Do,PART-2357,SSO Emory Integration,Antonio Antillon,61f81bb630f6b8006aa75942,14/Mar/23 10:39 AM,25/Apr/23 1:49 PM,part/Backend,,,
PART-2360,25003,Add enforce_role_presence validation,Task,1.0,Done,PART-2357,SSO Emory Integration,Antonio Antillon,61f81bb630f6b8006aa75942,14/Mar/23 10:42 AM,20/Apr/23 3:14 PM,part/Backend,,,
PART-2361,25004,"Auth0 - incoming SAML attributes mapping - (express_role, public_id)",Task,1.0,To Do,PART-2357,SSO Emory Integration,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,14/Mar/23 10:47 AM,25/Apr/23 11:14 AM,part/Backend,,,
PART-2362,25005,Auth0 - create new SSO connection for emory,Task,3.0,To Do,PART-2357,SSO Emory Integration,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,14/Mar/23 10:48 AM,25/Apr/23 1:49 PM,part/Backend,,,
PART-2374,25430,Research existing Statsig feature gates - generate AIs for each,Task,,Done,PART-234,Express Tech Excellence,Dan Cohn,607f2fef739dd40069a4b2a3,16/Mar/23 1:52 PM,05/Apr/23 8:36 AM,part/Backend,,,
PART-2375,25436,Migrate existing Statsig flags / dynamic configs to A/B project,Task,3.0,To Do,PART-234,Express Tech Excellence,Giorgi Gelashvili,62cdef6c6eba71983721e037,16/Mar/23 2:04 PM,20/Apr/23 11:21 AM,,,,
PART-2376,25440,Fix impersonation feature (too slow),Task,,Canceled,PART-234,Express Tech Excellence,,,16/Mar/23 2:28 PM,16/Mar/23 4:33 PM,,,,
PART-2380,25460,Remove deprecated market zipcode route from Station,Task,1.0,Code Review,PART-234,Express Tech Excellence,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,16/Mar/23 3:54 PM,25/Apr/23 11:25 AM,part/Backend,,,
PART-2389,25829,Upgrade React Scripts - 2 ,Task,3.0,In Progress,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,20/Mar/23 11:02 AM,20/Apr/23 10:25 AM,part/FE,,,
PART-2392,26070,Refactor Typescript Enum to use PascalCase,Task,1.0,To Do,PART-234,Express Tech Excellence,Kevin Anderson,62cdf0d01e326fd93012992d,21/Mar/23 11:35 AM,28/Mar/23 9:23 AM,part/FE,,,
PART-2395,26267,Add 'Select Payer' input to insurance page,Story,,In Progress,PART-2394,Insurance Restructure,Kevin Anderson,62cdf0d01e326fd93012992d,22/Mar/23 11:11 AM,25/Apr/23 1:16 PM,,,,
PART-2396,26268,Add 'Select Network' input to insurance page,Story,,To Do,PART-2394,Insurance Restructure,Kevin Anderson,62cdf0d01e326fd93012992d,22/Mar/23 11:12 AM,25/Apr/23 1:12 PM,,,,
PART-2397,26271,UI : view - Payer field,Task,2.0,Done,PART-2394,Insurance Restructure,Kevin Anderson,62cdf0d01e326fd93012992d,22/Mar/23 11:15 AM,20/Apr/23 10:40 AM,part/Frontend,,,
PART-2398,26276,UI: payer field - api hook & data type ,Task,3.0,Code Review,PART-2394,Insurance Restructure,Kevin Anderson,62cdf0d01e326fd93012992d,22/Mar/23 11:25 AM,26/Apr/23 2:45 PM,part/Frontend,,,
PART-2399,26277,UI: Feature Gate - new fields ,Task,1.0,Done,PART-2394,Insurance Restructure,Kevin Anderson,62cdf0d01e326fd93012992d,22/Mar/23 11:26 AM,13/Apr/23 7:53 AM,part/Frontend,,,
PART-2400,26278,(BE) New backend insurance-payer endpoints,Task,3.0,In Progress,PART-2394,Insurance Restructure,Antonio Antillon,61f81bb630f6b8006aa75942,22/Mar/23 11:27 AM,27/Apr/23 2:35 PM,part/Backend,,,
PART-2401,26279,New backend service to fetch insurance-payer data from Station,Task,3.0,In Progress,PART-2394,Insurance Restructure,Bernardo Gomez-Romero,61c9eb457c6f980070deda99,22/Mar/23 11:27 AM,27/Apr/23 1:00 PM,part/Backend,,,
PART-2402,26280,Update E2E tests - payer,Task,,To Do,PART-2394,Insurance Restructure,,,22/Mar/23 11:28 AM,27/Apr/23 2:35 PM,part/Frontend,,,
PART-2403,26281, UI: add Network field,Task,2.0,In Progress,PART-2394,Insurance Restructure,Kevin Anderson,62cdf0d01e326fd93012992d,22/Mar/23 11:28 AM,28/Apr/23 1:36 PM,part/Frontend,,,
PART-2404,26282,UI api hook and data type - network,Task,,Canceled,PART-2394,Insurance Restructure,,,22/Mar/23 11:29 AM,06/Apr/23 10:42 AM,part/Frontend,,,
PART-2405,26283,New backend insurance-network endpoint,Task,,Canceled,PART-2394,Insurance Restructure,,,22/Mar/23 11:30 AM,06/Apr/23 10:42 AM,part/Backend,,,
